Serial No,Name,Description,Link,Tags
1,52° North GmbH,52°North works on innovative ideas and technologies in geoinformatics,https://52north.org,"['java', 'android', 'javascript', 'python', 'react']"
2,AboutCode.org,"Find the origin, license and vulnerabilities of your code and deps.",https://www.aboutcode.org,"['python', 'c/c++', 'rust', 'javascript', 'postgresql']"
3,Academy Software Foundation (ASWF),Open source foundation for film industry projects.,http://aswf.io,"['c/c++', 'python']"
4,Accord Project,Linux Foundation’s open source project for smart legal contracts.,https://www.accordproject.org/,"['javascript', 'react', 'coq', 'ocaml', 'compiler']"
5,AerospaceResearch.net,making space together,http://www.aerospaceresearch.net,"['python', 'vhdl', 'raspberry pi', 'sqlite', 'c++']"
6,afl++,Making fuzzing more effective every day,https://aflplus.plus/,"['fuzzing', 'c/c++', 'qemu', 'llvm', 'sanitizers']"
7,Amahi,Making Home Networking and Storage Simple,https://www.amahi.org,"['ruby on rails', 'javascript', 'android', 'golang', 'swift']"
8,Android Graphics Tools Team,Providing excellent tools for graphics developers and driver makers,https://github.com/google/graphicsfuzz/blob/master/docs/summer-of-code-ideas/2020.md,"['vulkan', 'opengl', 'c/c++', 'java', 'python 3']"
9,AnitaB.org Open Source,Women transform technology. Technology transforms the world.,http://anitab.org,"['ios', 'android', 'python', 'javascript']"
10,AOSSIE,Australian Umbrella Org for Open-Source Projects,https://aossie.gitlab.io/,"['javascript', 'swift', 'kotlin', 'python']"
11,Apertium,A free/open-source machine translation platform,https://apertium.org,"['c++', 'bash', 'python', 'xml']"
12,apertus° Association,Open Technology for Professional Film Production,https://www.apertus.org,"['fpga', 'vhdl', 'c/c++', 'linux', 'embedded']"
13,appleseed,A modern open source rendering engine for animation and visual effects,https://appleseedhq.net/,"['c++11', 'python', 'opengl']"
14,Arduino,Open source electronic prototyping platform,https://arduino.cc,"['arduino', 'golang', 'c/c++']"
15,ArduPilot,"The world's most versatile, trusted and open autopilot",https://ardupilot.org,"['drones', 'python', 'robotics', 'linux', 'c/c++']"
16,BeagleBoard.org,Open hardware community driven single board computers - Linux at the edge,https://beagleboard.org,"['linux', 'tensorflow', 'python', 'javascript', 'opencv']"
17,BioGears,ARA is an employee-owned scientific research and engineering company.,https://www.biogearsengine.com/,"['c++11', 'c/c++', 'python', 'cmake']"
18,Blender Foundation,We build a free and open source 3D creation suite.,https://www.blender.org,"['c', 'c++', 'python', 'opengl', 'vulkan']"
19,Boost C++,Boost provides free peer-reviewed portable C++ source libraries,http://www.boost.org,"['c++17', 'c++11', 'c++']"
20,BRL-CAD,"We make solid modeling, 3D printing, & other computer-aided technologies (CAx)",https://brlcad.org,"['opencl', 'c/c++', 'python', 'tcl/tk', 'opengl']"
21,caMicroscope,Toolkit for cancer imaging research,http://camicroscope.github.io,"['javascript', 'python', 'java', 'medical imaging', 'tensorflow']"
22,Canadian Centre for Computational Genomics,Analytical solutions for Next-Generation Sequencing data,http://computationalgenomics.ca/,"['python', 'r-project', 'javascript', 'react', 'nodejs']"
23,Casbin,"Authorization library that supports access control models like ACL, RBAC, ABAC",https://casbin.org/,"['go', 'javascript', 'react', 'rust', 'python']"
24,Catrobat,Computational thinking for all with free visual coding apps,http://www.catrobat.org,"['java', 'android', 'swift', 'ios', 'php']"
25,CCExtractor Development,"Tools to make the world more accessible. ML/AI, Rust, Flutter, peer-to-peer...",https://ccextractor.org/,"['c', 'python', 'ml', 'flutter', 'rust']"
26,Ceph Foundation,The Future of Storage,https://ceph.io,"['c/c++', 'jenkins', 'python', 'javascript', 'shell script']"
27,CERN-HSF,The umbrella organization for Particle (High-Energy) Physics-related projects,http://hepsoftwarefoundation.org/activities/gsoc.html,"['c/c++', 'python', 'data analysis', 'machine learning', 'concurrency']"
28,CGAL Project,C++ library of computational geometry and geometry processing,https://www.cgal.org,"['c++', 'git', 'qt']"
29,CHAOSS,CHAOSS creates software and metrics to better understand community health,https://chaoss.community/,"['python', 'javascript', 'kibana', 'elasticsearch', 'mysql']"
30,Chapel,A Productive Parallel Programming Language,https://chapel-lang.org/,"['chapel', 'high performance computing', 'c', 'c++', 'python']"
31,Checker Framework,"Prevent programming errors before they happen, via easy-to-use verification",https://checkerframework.org/,['java']
32,Checkstyle,Tool to help programmers write Java code that adheres to a coding standard.,https://checkstyle.org,"['java', 'antlr', 'xpath']"
33,CircuitVerse.org,Have fun exploring logic circuits right from your browser!,http://circuitverse.org/,"['rails', 'javascript', 'bootstrap', 'html5', 'canvas']"
34,CiviCRM,Open source CRM for nonprofits and civic sector organizations.,https://civicrm.org,"['php', 'javascript', 'angularjs', 'mysql']"
35,Cloud Native Computing Foundation (CNCF),Building Sustainable Ecosystems for Cloud Native,https://www.cncf.io,"['kubernetes', 'golang', 'cloud', 'rust', 'service mesh']"
36,CloudCV,Building platforms for reproducible AI research,https://cloudcv.org,"['python', 'django', 'aws', 'docker', 'docker']"
37,Continuous Delivery Foundation,A Neutral Home for the Next Generation of Continuous Delivery Collaboration,https://cd.foundation,"['tekton', 'spinnaker', 'ci/cd', 'screwdriver']"
38,coreboot,"Fast, secure and flexible OpenSource firmware",https://www.coreboot.org/,"['c', 'assembly', 'x86', 'arm']"
39,Creative Commons,"Nonprofit building a vibrant, collaborative, and global digital commons.",https://opensource.creativecommons.org,"['javascript', 'vue.js', 'python', 'django', 'wordpress']"
40,CRIU,Checkpoint/Restore in User-space,https://criu.org,"['linux', 'c', 'assembly']"
41,Cuneiform Digital Library Initiative (CDLI),International digital library of artifacts inscribed with cuneiform writing,https://cdli.ucla.edu,"['python 3', 'php', 'mysql', 'html', 'css']"
42,Dart,Dart is a client-optimized language for fast apps on any platform.,https://dart.dev/,"['dart', 'flutter', 'programming-language']"
43,DBpedia,Global and Unified Access to Knowledge.,https://wiki.dbpedia.org/gsoc-2020,"['python', 'scala', 'java', 'javascript', 'rdf']"
44,Debian,The Universal Operating System,https://www.debian.org,"['git', 'python', 'javascript', 'c/c++', 'irc']"
45,Digital Impact Alliance (DIAL) at UN Foundation,"Open source projects for humanitarian work, international development, and peace",https://www.digitalimpactalliance.org,"['c++', 'javascript', 'android', 'php', 'python']"
46,Django Software Foundation,The web framework for perfectionists with deadlines.,https://www.djangoproject.com,"['python', 'django']"
47,Drupal,Drupal is a Framework/CMS. It's built many of the sites and apps you use daily.,https://www.drupal.org/,"['php', 'symfony', 'sql', 'javascript', 'drupal 8']"
48,Eclipse Foundation,"Non-profit, member-driven organization, a community of developers & OSS projects",https://www.eclipse.org/org/foundation/,"['eclipsejavaide', 'jakartaee', 'java', 'che', 'deep learning']"
49,Elastic,"We are the creators of Elasticsearch, Kibana, Beats, and Logstash.",https://elastic.co,"['java', 'react', 'node.js', 'golang']"
50,Embox,Modular and configurable OS for embedded applications,http://embox.github.io,"['c', 'gcc', 'assembly']"
51,Erlang Ecosystem Foundation,Supporting the Beam community,http://erlef.org,"['erlang', 'elixir', 'lfe', 'beam']"
52,Fedora Project,"Fedora Linux is built on the foundations of Freedom, Friends, Features, & First",https://getfedora.org/,"['python 3', 'rest', 'linux', 'web development', 'linux distribution']"
53,FFmpeg,"A complete, cross-platform solution to record, convert and stream audio & video",https://ffmpeg.org/,"['c', 'asm', 'git']"
54,FOSSology,Open Source Compliance with Open Source Software,https://www.fossology.org/,"['php', 'javascript', 'c/c++', 'twig', 'python']"
